 76 77 78 75 74 85 54 64 95 86 96 67 57 84 94 97 87 93 83 98 88 46 36 92 63 73 72 45 35 52 53 42 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 -227.060
 76 77 67 75 86 97 64 46 87 78 57 47 68 79 85 63 96 95 94 93 36 26 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 -227.060
 76 77 67 75 85 68 74 84 58 46 78 73 47 64 44 57 54 45 63 87 48 86 72 53 43 34 37 36 97 42 96 52 26 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  -23.781
 76 77 67 75 85 68 78 86 64 54 96 57 69 97 98 95 88 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  -22.492
 76 75 64 77 54 63 74 53 73 57 52 72 42 43 34 33 24 25 26 32 62 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  151.242
 76 75 64 57 74 84 85 73 67 95 54 86 77 88 78 89 79 87 99 83 68 69 59 58 96 97 98 63 49 53 94 48 38 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   94.820
 76 57 45 54 44 75 46 34 43 64 53 47 35 77 73 36 24 63 25 52 42 32 72 74 67 58 62 82 27 26 37 23 22 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  227.063
 76 57 45 74 75 84 46 77 86 97 48 47 67 87 64 49 37 53 63 73 42 43 85 96 78 79 44 68 88 34 72 36 26 52 62 27 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   14.906
 76 77 45 86 67 57 68 75 96 79 47 64 85 94 95 84 93 74 58 48 78 97 87 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  -25.383
 76 77 67 75 86 97 64 57 68 59 74 63 54 73 85 95 87 44 96 88 45 35 78 79 69 89 99 98 94 93 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  227.063
 76 77 67 75 86 68 78 96 64 54 84 74 95 88 87 58 99 94 69 97 85 79 89 47 59 98 49 57 93 48 38 39 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  227.063
 76 77 67 75 86 68 78 47 74 85 64 96 57 54 94 46 97 95 87 84 59 58 45 44 49 88 63 73 43 62 53 42 48 89 99 38 98 52 39 93 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   64.000
 76 77 67 75 86 68 78 47 74 84 94 87 85 57 59 96 95 93 97 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   35.586
